date,nav,scheme_name,amfi_code
15-10-2025,238.45860,Kotak Bluechip,120841
14-10-2025,236.66680,Kotak Bluechip,120841
13-10-2025,237.22620,Kotak Bluechip,120841
10-10-2025,238.75690,Kotak Bluechip,120841
09-10-2025,235.93800,Kotak Bluechip,120841
08-10-2025,232.78110,Kotak Bluechip,120841
07-10-2025,233.95910,Kotak Bluechip,120841
06-10-2025,233.81850,Kotak Bluechip,120841
03-10-2025,233.37890,Kotak Bluechip,120841
01-10-2025,231.36910,Kotak Bluechip,120841
30-09-2025,229.52820,Kotak Bluechip,120841
26-09-2025,229.74300,Kotak Bluechip,120841
25-09-2025,233.87710,Kotak Bluechip,120841
24-09-2025,235.11270,Kotak Bluechip,120841
23-09-2025,236.44530,Kotak Bluechip,120841
22-09-2025,236.63080,Kotak Bluechip,120841
19-09-2025,238.75510,Kotak Bluechip,120841
18-09-2025,239.20090,Kotak Bluechip,120841
17-09-2025,238.48040,Kotak Bluechip,120841
16-09-2025,238.55530,Kotak Bluechip,120841
15-09-2025,236.80300,Kotak Bluechip,120841
12-09-2025,235.50090,Kotak Bluechip,120841
11-09-2025,234.58140,Kotak Bluechip,120841
10-09-2025,232.91720,Kotak Bluechip,120841
09-09-2025,231.76010,Kotak Bluechip,120841
08-09-2025,230.33340,Kotak Bluechip,120841
05-09-2025,230.02610,Kotak Bluechip,120841
04-09-2025,230.31470,Kotak Bluechip,120841
03-09-2025,231.83080,Kotak Bluechip,120841
02-09-2025,230.25640,Kotak Bluechip,120841
01-09-2025,230.56000,Kotak Bluechip,120841
29-08-2025,228.18410,Kotak Bluechip,120841
28-08-2025,228.61610,Kotak Bluechip,120841
26-08-2025,231.52440,Kotak Bluechip,120841
25-08-2025,234.82660,Kotak Bluechip,120841
22-08-2025,234.64730,Kotak Bluechip,120841
21-08-2025,235.99250,Kotak Bluechip,120841
20-08-2025,237.68750,Kotak Bluechip,120841
19-08-2025,238.16060,Kotak Bluechip,120841
18-08-2025,235.89660,Kotak Bluechip,120841
14-08-2025,235.41450,Kotak Bluechip,120841
13-08-2025,235.05280,Kotak Bluechip,120841
12-08-2025,233.81600,Kotak Bluechip,120841
11-08-2025,234.27090,Kotak Bluechip,120841
08-08-2025,232.48970,Kotak Bluechip,120841
07-08-2025,235.67910,Kotak Bluechip,120841
06-08-2025,235.13930,Kotak Bluechip,120841
05-08-2025,236.25070,Kotak Bluechip,120841
04-08-2025,237.98360,Kotak Bluechip,120841
01-08-2025,235.53400,Kotak Bluechip,120841
31-07-2025,240.15810,Kotak Bluechip,120841
30-07-2025,243.45610,Kotak Bluechip,120841
29-07-2025,243.06130,Kotak Bluechip,120841
28-07-2025,240.37700,Kotak Bluechip,120841
25-07-2025,242.22850,Kotak Bluechip,120841
24-07-2025,244.72590,Kotak Bluechip,120841
23-07-2025,245.91230,Kotak Bluechip,120841
22-07-2025,244.27000,Kotak Bluechip,120841
21-07-2025,246.48610,Kotak Bluechip,120841
18-07-2025,246.05880,Kotak Bluechip,120841
17-07-2025,247.61990,Kotak Bluechip,120841
16-07-2025,247.86510,Kotak Bluechip,120841
15-07-2025,247.64960,Kotak Bluechip,120841
14-07-2025,246.36030,Kotak Bluechip,120841
11-07-2025,245.42670,Kotak Bluechip,120841
10-07-2025,247.92590,Kotak Bluechip,120841
09-07-2025,248.25050,Kotak Bluechip,120841
08-07-2025,249.01420,Kotak Bluechip,120841
07-07-2025,249.68770,Kotak Bluechip,120841
04-07-2025,250.23430,Kotak Bluechip,120841
03-07-2025,248.61830,Kotak Bluechip,120841
02-07-2025,249.10570,Kotak Bluechip,120841
01-07-2025,248.28820,Kotak Bluechip,120841
30-06-2025,247.82730,Kotak Bluechip,120841
27-06-2025,247.14610,Kotak Bluechip,120841
26-06-2025,246.32230,Kotak Bluechip,120841
25-06-2025,243.87750,Kotak Bluechip,120841
24-06-2025,242.58750,Kotak Bluechip,120841
23-06-2025,242.26740,Kotak Bluechip,120841
20-06-2025,241.43830,Kotak Bluechip,120841
19-06-2025,238.56300,Kotak Bluechip,120841
18-06-2025,241.99560,Kotak Bluechip,120841
17-06-2025,243.23150,Kotak Bluechip,120841
16-06-2025,245.61500,Kotak Bluechip,120841
13-06-2025,243.69350,Kotak Bluechip,120841
12-06-2025,245.07360,Kotak Bluechip,120841
11-06-2025,248.66570,Kotak Bluechip,120841
10-06-2025,248.96190,Kotak Bluechip,120841
09-06-2025,249.38530,Kotak Bluechip,120841
06-06-2025,246.85390,Kotak Bluechip,120841
05-06-2025,246.35900,Kotak Bluechip,120841
04-06-2025,244.55630,Kotak Bluechip,120841
03-06-2025,242.91490,Kotak Bluechip,120841
02-06-2025,242.98490,Kotak Bluechip,120841
30-05-2025,243.28810,Kotak Bluechip,120841
29-05-2025,245.59560,Kotak Bluechip,120841
28-05-2025,244.18980,Kotak Bluechip,120841
27-05-2025,244.84710,Kotak Bluechip,120841
26-05-2025,244.66170,Kotak Bluechip,120841
23-05-2025,243.17780,Kotak Bluechip,120841
22-05-2025,242.51250,Kotak Bluechip,120841
21-05-2025,243.74660,Kotak Bluechip,120841
20-05-2025,241.44050,Kotak Bluechip,120841
19-05-2025,244.83960,Kotak Bluechip,120841
16-05-2025,245.97440,Kotak Bluechip,120841
15-05-2025,244.82280,Kotak Bluechip,120841
14-05-2025,242.83230,Kotak Bluechip,120841
13-05-2025,239.39580,Kotak Bluechip,120841
12-05-2025,239.46420,Kotak Bluechip,120841
09-05-2025,231.15890,Kotak Bluechip,120841
08-05-2025,231.23960,Kotak Bluechip,120841
07-05-2025,235.41200,Kotak Bluechip,120841
06-05-2025,233.28860,Kotak Bluechip,120841
05-05-2025,238.12590,Kotak Bluechip,120841
02-05-2025,234.77150,Kotak Bluechip,120841
30-04-2025,236.41840,Kotak Bluechip,120841
29-04-2025,237.56590,Kotak Bluechip,120841
28-04-2025,237.84030,Kotak Bluechip,120841
25-04-2025,234.11170,Kotak Bluechip,120841
24-04-2025,239.26360,Kotak Bluechip,120841
23-04-2025,239.17520,Kotak Bluechip,120841
22-04-2025,237.21510,Kotak Bluechip,120841
21-04-2025,236.18130,Kotak Bluechip,120841
17-04-2025,233.07000,Kotak Bluechip,120841
16-04-2025,231.07710,Kotak Bluechip,120841
15-04-2025,229.19420,Kotak Bluechip,120841
11-04-2025,223.76780,Kotak Bluechip,120841
09-04-2025,220.37870,Kotak Bluechip,120841
08-04-2025,221.45250,Kotak Bluechip,120841
07-04-2025,216.23630,Kotak Bluechip,120841
04-04-2025,223.14210,Kotak Bluechip,120841
03-04-2025,230.67280,Kotak Bluechip,120841
02-04-2025,229.46580,Kotak Bluechip,120841
01-04-2025,226.65970,Kotak Bluechip,120841
31-03-2025,227.72340,Kotak Bluechip,120841
28-03-2025,227.71980,Kotak Bluechip,120841
27-03-2025,228.43030,Kotak Bluechip,120841
26-03-2025,226.77850,Kotak Bluechip,120841
25-03-2025,228.56380,Kotak Bluechip,120841
24-03-2025,231.56300,Kotak Bluechip,120841
21-03-2025,228.95350,Kotak Bluechip,120841
20-03-2025,226.42200,Kotak Bluechip,120841
19-03-2025,224.17580,Kotak Bluechip,120841
18-03-2025,219.81790,Kotak Bluechip,120841
17-03-2025,216.04260,Kotak Bluechip,120841
13-03-2025,215.28160,Kotak Bluechip,120841
12-03-2025,216.59170,Kotak Bluechip,120841
11-03-2025,215.84260,Kotak Bluechip,120841
10-03-2025,215.32820,Kotak Bluechip,120841
07-03-2025,217.73490,Kotak Bluechip,120841
06-03-2025,217.36140,Kotak Bluechip,120841
05-03-2025,214.35130,Kotak Bluechip,120841
04-03-2025,208.14790,Kotak Bluechip,120841
03-03-2025,208.67430,Kotak Bluechip,120841
28-02-2025,209.93370,Kotak Bluechip,120841
27-02-2025,215.25270,Kotak Bluechip,120841
25-02-2025,217.69510,Kotak Bluechip,120841
24-02-2025,219.50910,Kotak Bluechip,120841
21-02-2025,222.19160,Kotak Bluechip,120841
20-02-2025,223.48540,Kotak Bluechip,120841
19-02-2025,221.76370,Kotak Bluechip,120841
18-02-2025,219.78780,Kotak Bluechip,120841
17-02-2025,221.54140,Kotak Bluechip,120841
14-02-2025,220.16290,Kotak Bluechip,120841
13-02-2025,224.75550,Kotak Bluechip,120841
12-02-2025,223.74700,Kotak Bluechip,120841
11-02-2025,223.66980,Kotak Bluechip,120841
10-02-2025,228.54370,Kotak Bluechip,120841
07-02-2025,232.79490,Kotak Bluechip,120841
06-02-2025,233.51210,Kotak Bluechip,120841
05-02-2025,234.77000,Kotak Bluechip,120841
04-02-2025,233.85140,Kotak Bluechip,120841
03-02-2025,229.58760,Kotak Bluechip,120841
31-01-2025,238.74590,Kotak Bluechip,120841
30-01-2025,234.02110,Kotak Bluechip,120841
29-01-2025,232.21610,Kotak Bluechip,120841
28-01-2025,228.97400,Kotak Bluechip,120841
27-01-2025,230.12100,Kotak Bluechip,120841
24-01-2025,236.84180,Kotak Bluechip,120841
23-01-2025,240.14200,Kotak Bluechip,120841
22-01-2025,238.06520,Kotak Bluechip,120841
21-01-2025,240.17730,Kotak Bluechip,120841
20-01-2025,243.38880,Kotak Bluechip,120841
17-01-2025,241.85130,Kotak Bluechip,120841
16-01-2025,239.08700,Kotak Bluechip,120841
15-01-2025,236.81930,Kotak Bluechip,120841
14-01-2025,237.23680,Kotak Bluechip,120841
13-01-2025,232.23360,Kotak Bluechip,120841
10-01-2025,240.37350,Kotak Bluechip,120841
09-01-2025,243.70670,Kotak Bluechip,120841
08-01-2025,245.65960,Kotak Bluechip,120841
07-01-2025,246.12800,Kotak Bluechip,120841
06-01-2025,245.10460,Kotak Bluechip,120841
03-01-2025,251.75580,Kotak Bluechip,120841
02-01-2025,251.29330,Kotak Bluechip,120841
01-01-2025,248.19780,Kotak Bluechip,120841
31-12-2024,246.49220,Kotak Bluechip,120841
30-12-2024,243.47220,Kotak Bluechip,120841
27-12-2024,244.06600,Kotak Bluechip,120841
26-12-2024,244.00380,Kotak Bluechip,120841
24-12-2024,244.33310,Kotak Bluechip,120841
23-12-2024,244.11490,Kotak Bluechip,120841
20-12-2024,242.15420,Kotak Bluechip,120841
19-12-2024,247.01220,Kotak Bluechip,120841
18-12-2024,249.15120,Kotak Bluechip,120841
17-12-2024,250.29680,Kotak Bluechip,120841
16-12-2024,253.21940,Kotak Bluechip,120841
13-12-2024,252.22450,Kotak Bluechip,120841
12-12-2024,252.26300,Kotak Bluechip,120841
11-12-2024,254.50990,Kotak Bluechip,120841
10-12-2024,253.23170,Kotak Bluechip,120841
09-12-2024,253.74640,Kotak Bluechip,120841
06-12-2024,253.40450,Kotak Bluechip,120841
05-12-2024,253.00510,Kotak Bluechip,120841
04-12-2024,252.61810,Kotak Bluechip,120841
03-12-2024,252.25920,Kotak Bluechip,120841
02-12-2024,250.65840,Kotak Bluechip,120841
29-11-2024,249.15510,Kotak Bluechip,120841
28-11-2024,247.07270,Kotak Bluechip,120841
27-11-2024,246.60740,Kotak Bluechip,120841
26-11-2024,245.17800,Kotak Bluechip,120841
25-11-2024,244.55130,Kotak Bluechip,120841
22-11-2024,240.63170,Kotak Bluechip,120841
21-11-2024,236.69090,Kotak Bluechip,120841
19-11-2024,240.00880,Kotak Bluechip,120841
18-11-2024,239.48100,Kotak Bluechip,120841
14-11-2024,240.39520,Kotak Bluechip,120841
13-11-2024,240.37300,Kotak Bluechip,120841
12-11-2024,244.90380,Kotak Bluechip,120841
11-11-2024,248.00540,Kotak Bluechip,120841
08-11-2024,250.13450,Kotak Bluechip,120841
07-11-2024,253.74270,Kotak Bluechip,120841
06-11-2024,256.91980,Kotak Bluechip,120841
05-11-2024,252.31120,Kotak Bluechip,120841
04-11-2024,251.69180,Kotak Bluechip,120841
31-10-2024,253.53320,Kotak Bluechip,120841
30-10-2024,255.05050,Kotak Bluechip,120841
29-10-2024,251.70440,Kotak Bluechip,120841
28-10-2024,250.39200,Kotak Bluechip,120841
25-10-2024,249.74380,Kotak Bluechip,120841
24-10-2024,254.33200,Kotak Bluechip,120841
23-10-2024,254.76880,Kotak Bluechip,120841
22-10-2024,254.99760,Kotak Bluechip,120841
21-10-2024,260.13790,Kotak Bluechip,120841
18-10-2024,263.28120,Kotak Bluechip,120841
17-10-2024,262.79870,Kotak Bluechip,120841
16-10-2024,265.53590,Kotak Bluechip,120841
15-10-2024,265.96680,Kotak Bluechip,120841
14-10-2024,266.95090,Kotak Bluechip,120841
11-10-2024,266.99490,Kotak Bluechip,120841
